index, img_id, is_valid, scale, proc_id, file_name, pos, angle_deg, overlap_pixels_prev, overlap_pixels_next, packet_array_count,tag, c_packet, c_track, c_imc,root_bucket, next_bucket, next, bucket_id, pkg_index, packet_id, from_proc_id, is_center,pkg_row_start, pkg_row_end, pkg_col_start, pkg_col_end, img_row_start, img_col_start, img_row_count, img_col_count 
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9464,5,1,1844,2067,1480,1703,0,0,224,224
2267,2268,1,1,5,,0,60.2902,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9464,5,1,1047,1270,971,1194,0,0,224,224
2268,2269,1,1,6,,0,58.3845,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9465,6,1,2197,2420,720,943,0,0,224,224
2269,2270,1,1,6,,0,56.1617,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9467,6,1,1515,1738,688,911,0,0,224,224
2270,2271,1,1,6,,0,56.6695,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9467,6,1,562,785,209,432,0,0,224,224
2271,2272,1,1,5,,0,54.6818,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9468,5,1,1864,2087,1047,1270,0,0,224,224
2272,2273,1,1,5,,0,54.9287,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9468,5,1,1402,1625,527,750,0,0,224,224
2273,2274,1,1,5,,0,55.195,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9468,5,1,900,1123,408,631,0,0,224,224
2274,2275,1,1,5,,0,54.8475,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9468,5,1,1553,1776,131,354,0,0,224,224
2275,2276,1,1,5,,0,53.1314,0,0,2,1280,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,0,28,1,9469,6,0,2349,2430,519,742,0,0,82,224
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,-1,28,0,9470,5,1,0,141,519,742,82,0,142,224
