index,parent,next,tail,count,status,track_id,source_type,dft.defect_id,dft.event_root_index,dft.from_channel,dft.channel_defect_id,dft.related_defect_id,dft.img_id,dft.img_tag,dft.peak_adc,dft.peak_packet_id,dft.peak_row,dft.peak_col,dft.x_encoder,dft.w_encoder,dft.radius,dft.theta,dft.x_cor,dft.y_cor,dft.x,dft.y,dft.snr,dft.defect_area,dft.defect_size,dft.dsize,dft.rppm,dft.nppm,dft.um_size,dft.x_size,dft.y_size,dft.ee,dft.haze_avg,dft.defect_tag,dft.cluster_number,dft.cluster_area,dft.cluster_length,dft.confidence,dft.midlevel_bin_number,dft.rough_bin_number,dft.fine_bin_number,dft.acc_flag,dft.cosmic_ray_flag,dft.saturated_flag,dft.max_xt_fit,dft.xenc_outer,dft.xenc_inner,dft.wenc_left,dft.wenc_right
45,-1,-1,46,1,0,27,-1,46,52,1,-1,-1,46,1536,2801,4040,2188,27,37364,249633,122028.296875,-5.983315944671631,116582.796875,36046.59765625,36046.59765625,-116582.796875,237.15089416503906,1850.6873779296875,2801.0,43.019615173339844,2801.0,0.0,0.0,36.10546875,51.2578125,0.0698011964559555,59,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37349,37407,249630,249638
46,-1,-1,47,1,0,27,-1,47,53,1,-1,-1,47,1792,2749,4041,990,1421,38589,250786,121048.5,-6.010951519012451,116590.609375,32547.958984375,32547.947265625,-116590.609375,195.08419799804688,0.0,2749.0,2749.0,2749.0,0.0,0.0,0.0,0.0,0.17294202744960785,66,0,-1,0.0,0.0,0.0,-1,0,-1,0,0,0,0,38580,38596,250782,250790
47,-1,-1,48,1,0,27,-1,48,54,1,-1,-1,48,0,2780,4041,2228,1334,38517,251683,121106.203125,-6.032451152801514,117319.2734375,30048.29296875,30048.294921875,-117319.2734375,191.38243103027344,1760.6248779296875,2780.0,41.959800720214844,2780.0,0.0,0.0,34.197265625,51.484375,0.07952456921339035,69,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,38505,38564,251680,251688
48,-1,-1,49,1,0,27,-1,49,55,1,-1,-1,49,1280,4053,4041,11,1353,38525,250076,121099.296875,-5.993934154510498,116068.5625,34541.70703125,34541.70703125,-116068.5546875,280.99688720703125,1851.9468994140625,4053.0,43.03425216674805,4053.0,0.0,0.0,35.7109375,51.859375,0.13436992466449738,66,1,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,38487,38546,250072,250080
49,-1,-1,50,1,0,27,-1,50,56,1,-1,-1,50,0,4071,4041,1769,986,38210,251351,121351.3984375,-6.02449369430542,117313.4921875,31043.619140625,31043.607421875,-117313.4921875,324.8843078613281,42281.9140625,4071.0,205.62567138671875,4071.0,0.0,0.0,150.248046875,281.4140625,0.06818296015262604,64,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,38191,38527,251326,251355
50,-1,-1,51,1,0,27,-1,51,57,1,-1,-1,51,0,2573,4041,762,1266,38453,250621,121157.0,-6.0069966316223145,116565.359375,33038.390625,33038.37890625,-116565.359375,214.43887329101563,1616.978515625,2573.0,40.211669921875,2573.0,0.0,0.0,32.21875,50.1875,0.0676695704460144,62,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,38412,38470,250617,250624
51,-1,-1,52,1,0,27,-1,52,58,1,-1,-1,52,0,2793,4041,1998,1170,38373,251517,121221.0,-6.028472423553467,117309.890625,30543.76171875,30543.763671875,-117309.890625,192.2773895263672,1698.2972412109375,2793.0,41.21040344238281,2793.0,0.0,0.0,33.9765625,49.984375,0.0661621019244194,69,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,38351,38408,251513,251521
52,-1,-1,53,1,0,27,-1,53,59,1,-1,-1,53,0,4077,4041,1540,820,38065,251185,121467.6015625,-6.020514965057373,117301.265625,31540.302734375,31540.29296875,-117301.2734375,345.4028015136719,42583.30859375,4077.0,206.35723876953125,4077.0,0.0,0.0,151.28125,281.484375,0.06752654910087585,62,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,38031,38367,251160,251189
53,-1,-1,54,1,0,27,-1,54,61,1,-1,-1,54,0,2791,4041,533,1042,38256,250454,121314.6015625,-6.002994060516357,116583.6484375,33548.2734375,33548.27734375,-116583.6484375,232.607421875,1756.5908203125,2791.0,41.91170120239258,2791.0,0.0,0.0,34.95703125,50.25,0.061819590628147125,62,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,38241,38298,250451,250459
54,-1,-1,55,1,0,27,-1,55,62,1,-1,-1,55,0,2771,4041,1311,637,37904,251018,121596.5,-6.016512393951416,117298.4296875,32043.52734375,32043.52734375,-117298.4296875,234.74021911621094,41808.12109375,2771.0,204.4703369140625,2771.0,0.0,0.0,149.310546875,280.0078125,0.06511229276657104,62,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37868,38203,250994,251022
